"","Biomass","Geothermal","Hydro","Photovoltaic","Wind","date"
"1301",2.32125,0.644166666666667,7.38291666666667,4.15666666666667,1.50333333333333,2019-07-24
"1302",2.47583333333333,0.64875,7.3325,4.11375,0.62125,2019-07-25
"1303",2.46708333333333,0.650416666666667,7.18916666666667,4.10416666666667,0.678333333333333,2019-07-26
"1304",1.84625,0.631666666666667,6.17291666666667,3.155,2.54125,2019-07-27
"1305",1.43625,0.64125,5.70833333333333,2.645,5.15041666666667,2019-07-28
"1306",2.0175,0.645833333333333,6.72958333333333,3.91416666666667,3.60416666666667,2019-07-29
"1307",2.115,0.630416666666667,6.56708333333333,4.16166666666667,1.65083333333333,2019-07-30
"1308",2.19583333333333,0.635833333333333,7.54833333333333,4.05041666666667,1.17583333333333,2019-07-31
"1309",2.46291666666667,0.654583333333333,6.5825,3.93208333333333,1.04291666666667,2019-08-01
"1310",2.25833333333333,0.649583333333333,6.54958333333333,3.31458333333333,1.61416666666667,2019-08-02
"1311",1.79375,0.655,5.07958333333333,4.15666666666667,2.16791666666667,2019-08-03
"1312",1.58375,0.655833333333333,5.02958333333333,4.12375,1.38291666666667,2019-08-04
"1313",2.02541666666667,0.655,6.25083333333333,4.06333333333333,0.740833333333333,2019-08-05
"1314",2.11083333333333,0.645,6.16541666666667,3.85,0.827083333333333,2019-08-06
"1315",2.01208333333333,0.654583333333333,6.69166666666667,3.44458333333333,1.62833333333333,2019-08-07
"1316",2.0325,0.645,6.3325,3.41458333333333,1.28208333333333,2019-08-08
"1317",1.96208333333333,0.652916666666667,6.80875,3.87666666666667,1.31333333333333,2019-08-09
"1318",1.97041666666667,0.655416666666667,6.01666666666667,3.94333333333333,0.507083333333333,2019-08-10
"1319",1.90041666666667,0.650833333333333,5.87666666666667,3.96041666666667,0.602083333333333,2019-08-11
"1320",1.92083333333333,0.647083333333333,6.59208333333333,3.14625,0.44,2019-08-12
"1321",1.72083333333333,0.645833333333333,5.985,3.6025,1.08333333333333,2019-08-13
"1322",1.47291666666667,0.645,5.85791666666667,3.68416666666667,3.44458333333333,2019-08-14
"1323",1.50875,0.6525,4.90875,3.91375,2.64333333333333,2019-08-15
"1324",1.61666666666667,0.65625,5.1425,4.08125,1.21833333333333,2019-08-16
"1325",1.73583333333333,0.655416666666667,4.80416666666667,3.79041666666667,0.745833333333333,2019-08-17
